,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind speed
360,Ongandjera,0,NA,1547330420,18,-17.88,15.07,26.66,7.25
361,Nuuk,75,GL,1547326200,85,64.17,-51.74,-4,5.7
362,Vardo,90,US,1547328900,65,39.62,-77.74,1.1,2.1
363,San Javier,0,ES,1547328600,80,37.81,-0.83,4,3.1
364,Lewisporte,90,CA,1547326800,79,49.25,-55.06,-4,4.6
365,San-Pedro,0,CI,1547330437,90,4.75,-6.64,26.31,3.0
366,Svay Rieng,8,KH,1547330440,95,11.08,105.8,23.14,1.45
367,Norman Wells,20,CA,1547326800,73,65.28,-126.83,-35,1.5
368,Toppenish,90,US,1547330100,100,46.38,-120.31,5.6,1.5
369,Sinnamary,20,GF,1547330450,93,5.38,-52.96,26.41,4.55
370,Nouadhibou,0,MR,1547326800,45,20.93,-17.03,19,5.1
371,Novo Aripuana,0,BR,1547330457,70,-5.12,-60.38,29.69,1.3
372,Nalut,0,LY,1547330460,83,31.86,10.98,-0.17,2.0
373,Salvador,20,BR,1547326800,66,-12.98,-38.48,29,3.6
374,Kruisfontein,0,ZA,1547330467,90,-34.0,24.73,17.44,3.35
375,Ponta Delgada,75,PT,1547326800,77,37.73,-25.67,16,5.7
376,Otradnoye,40,RU,1547328600,92,59.77,30.8,-6,5.0
